name,county
כמאנה ,עכו 
חברון ,חברון 
קצר א-סר ,באר שבע 
סנסנה ,חברון 
אעצם (שבט) ,באר שבע 
אבירים ,עכו 
אבו עבדון (שבט) ,באר שבע 
אבו עמאר (שבט) ,באר שבע 
אבו עמרה (שבט) ,באר שבע 
אבו גוש ,ירושלים 
אבו ג'ווייעד (שבט) ,באר שבע 
אבו קורינאת (שבט) ,באר שבע 
אבו קרינאת (יישוב) ,באר שבע 
אבו רובייעה (שבט) ,באר שבע 
אבו רוקייק (שבט) ,באר שבע 
אבו סנאן ,עכו 
אבו סריחאן (שבט) ,באר שבע 
אבו תלול ,באר שבע 
אדמית ,עכו 
עדנים ,פתח תקווה 
אדרת ,ירושלים 
אדירים ,עפולה 
עדי ,עכו 
אדורה ,חברון 
אפיניש (שבט) ,באר שבע 
אפק ,עכו 
אפיק ,גולן 
אפיקים ,כנרת 
עפולה ,עפולה 
עגור ,ירושלים 
אחווה ,אשקלון 
אחיעזר ,רמלה 
אחיהוד ,עכו 
אחיסמך ,רמלה 
אחיטוב ,השרון 
אחוזם ,אשקלון 
אחוזת ברק ,עפולה 
עכו ,עכו 
אל סייד ,באר שבע 
אל-עריאן ,חדרה 
אל-עזי ,אשקלון 
עלי זהב ,טול כרם 
אלפי מנשה ,טול כרם 
אלון הגליל ,עפולה 
אלון שבות ,בית לחם 
אלוני אבא ,עפולה 
אלוני הבשן ,גולן 
אלוני יצחק ,חדרה 
אלונים ,עפולה 
עלמה ,צפת 
אלמגור ,כנרת 
אלמוג ,ירדן )יריחו( 
עלמון ,ראמאללה 
עלומים ,באר שבע 
אלומה ,אשקלון 
אלומות ,כנרת 
אמציה ,אשקלון 
עמיר ,צפת 
אמירים ,צפת 
עמיעד ,צפת 
עמיעוז ,באר שבע 
עמיחי ,ראמאללה 
עמינדב ,ירושלים 
עמיקם ,חדרה 
אמנון ,כנרת 
עמקה ,עכו 
עמוקה ,צפת 
אניעם ,גולן 
ערערה ,חדרה 
ערערה-בנגב ,באר שבע 
ערד ,באר שבע 
עראמשה ,עכו 
ארבל ,כנרת 
ארגמן ,ירדן )יריחו( 
אריאל ,טול כרם 
ערב אל נעים ,עכו 
עראבה ,עכו 
ארסוף ,השרון 
ערוגות ,אשקלון 
אסד (שבט) ,באר שבע 
אספר ,חברון 
עשרת ,רחובות 
אשלים ,באר שבע 
אשדוד ,אשקלון 
אשדות יעקב (איחוד) ,כנרת 
אשדות יעקב (מאוחד) ,כנרת 
אשרת ,עכו 
אשקלון ,אשקלון 
עטאוונה (שבט) ,באר שבע 
עטרת ,ראמאללה 
עתלית ,חדרה 
אטרש (שבט) ,באר שבע 
עצמון שגב ,עכו 
עבדון ,עכו 
אבנת ,ירדן )יריחו( 
אביאל ,חדרה 
אביעזר ,ירושלים 
אביגדור ,אשקלון 
אביחיל ,השרון 
אביטל ,עפולה 
אביבים ,צפת 
אבני איתן ,גולן 
אבני חפץ ,טול כרם 
אבשלום ,באר שבע 
אבטליון ,עכו 
עיינות ,רחובות 
איילת השחר ,צפת 
עזריה ,רמלה 
אזור ,חולון 
עזריאל ,השרון 
עזריקם ,אשקלון 
בחן ,השרון 
בלפוריה ,עפולה 
באקה אל-גרביה ,חדרה 
בר גיורא ,ירושלים 
בר יוחאי ,צפת 
ברעם ,צפת 
ברק ,עפולה 
ברקת ,פתח תקווה 
ברקן ,טול כרם 
ברקאי ,חדרה 
"בסמ""ה ",חדרה 
בסמת טבעון ,עפולה 
בת עין ,בית לחם 
בת הדר ,אשקלון 
בת חפר ,השרון 
בת חן ,השרון 
בת שלמה ,חדרה 
בת ים ,חולון 
בצרה ,השרון 
באר מילכה ,באר שבע 
באר אורה ,באר שבע 
באר שבע ,באר שבע 
באר טוביה ,אשקלון 
באר יעקב ,רמלה 
בארי ,באר שבע 
בארות יצחק ,פתח תקווה 
בארותיים ,השרון 
באר גנים ,באר שבע 
בית ג'ן ,עכו 
בן עמי ,עכו 
בן שמן (מושב) ,רמלה 
בן שמן (כפר נוער) ,רמלה 
בן זכאי ,רחובות 
בניה ,רחובות 
בני עטרות ,פתח תקווה 
"בני עי""ש ",רחובות 
בני ברק ,רמת גן 
בני דרום ,רחובות 
בני דרור ,השרון 
בני נצרים ,באר שבע 
בני ראם ,רחובות 
בני יהודה ,גולן 
בני ציון ,השרון 
בקעות ,ירדן )יריחו( 
בקוע ,ירושלים 
ברכה ,שכם 
ברכיה ,אשקלון 
ברור חיל ,אשקלון 
ברוש ,באר שבע 
בית אלפא ,עפולה 
בית עריף ,רמלה 
בית אריה ,ראמאללה 
בית ברל ,פתח תקווה 
בית דגן ,רמלה 
בית אל ,ראמאללה 
בית אלעזרי ,רחובות 
בית עזרא ,אשקלון 
בית גמליאל ,רחובות 
בית גוברין ,אשקלון 
בית הערבה ,ירדן )יריחו( 
בית העמק ,עכו 
בית הגדי ,באר שבע 
בית הלוי ,השרון 
בית חנן ,רחובות 
בית חנניה ,חדרה 
בית השיטה ,עפולה 
בית חשמונאי ,רמלה 
בית חירות ,השרון 
בית הלל ,צפת 
בית חלקיה ,רחובות 
בית חורון ,ראמאללה 
בית לחם הגלילית ,עפולה 
בית מאיר ,ירושלים 
בית נחמיה ,רמלה 
בית נקופה ,ירושלים 
בית ניר ,אשקלון 
בית אורן ,חדרה 
בית עובד ,רחובות 
בית קמה ,באר שבע 
בית קשת ,כנרת 
בית רבן ,רחובות 
בית רימון ,עפולה 
בית שאן ,עפולה 
בית שערים ,עפולה 
בית שמש ,ירושלים 
בית שקמה ,אשקלון 
בית עוזיאל ,רמלה 
בית ינאי ,השרון 
בית יהושע ,השרון 
בית יצחק-שער חפר ,השרון 
בית יוסף ,עפולה 
בית זית ,ירושלים 
בית זיד ,עפולה 
בית זרע ,כנרת 
בית צבי ,חדרה 
ביתר עילית ,בית לחם 
בצת ,עכו 
בענה ,עכו 
בנימינה-גבעת עדה ,חדרה 
ביר אל-מכסור ,עכו 
ביר הדאג' ,באר שבע 
ביריה ,צפת 
ביתן אהרן ,השרון 
בטחה ,באר שבע 
ביצרון ,אשקלון 
בני דקלים ,אשקלון 
ברוכין ,טול כרם 
בועיינה-נוג'ידאת ,נצרת 
בוקעאתא ,גולן 
בורגתה ,השרון 
בוסתן הגליל ,עכו 
דבוריה ,עפולה 
דפנה ,צפת 
דחי ,עפולה 
דאלית אל-כרמל ,חיפה 
דליה ,עפולה 
דלתון ,צפת 
דן ,צפת 
דברת ,עפולה 
דגניה א' ,כנרת 
דגניה ב' ,כנרת 
דייר אל-אסד ,עכו 
דייר חנא ,עכו 
דייר ראפאת ,ירושלים 
דמיידה ,עכו 
דקל ,באר שבע 
דריג'את ,באר שבע 
דבירה ,באר שבע 
דבורה ,עפולה 
דימונה ,באר שבע 
דישון ,צפת 
דולב ,ראמאללה 
